country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Bagalkot,"Vidayagiri, Bagalkot - KSPCB","26-03-2026 08:00:00",16.172806,75.659694,NO2,6,12,11
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","26-03-2026 08:00:00",12.9135218,77.5950804,PM10,109,112,112
India,Karnataka,Bengaluru,"BTM Layout, Bengaluru - CPCB","26-03-2026 08:00:00",12.9135218,77.5950804,NO2,7,13,9
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","26-03-2026 08:00:00",13.029152,77.585901,NO2,39,132,72
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","26-03-2026 08:00:00",13.029152,77.585901,NH3,1,5,2
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","26-03-2026 08:00:00",13.029152,77.585901,CO,16,58,22
India,Karnataka,Bengaluru,"Hombegowda Nagar, Bengaluru - KSPCB","26-03-2026 08:00:00",12.938539,77.590100,PM10,85,125,107
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","26-03-2026 08:00:00",12.920984,77.584908,PM2.5,70,138,96
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","26-03-2026 08:00:00",12.920984,77.584908,PM10,85,126,104
India,Karnataka,Bengaluru,"Jayanagar 5th Block, Bengaluru - KSPCB","26-03-2026 08:00:00",12.920984,77.584908,CO,2,54,12
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","26-03-2026 08:00:00",12.7816279,77.6299145,PM2.5,35,418,86
India,Karnataka,Bengaluru,"Jigani, Bengaluru - KSPCB","26-03-2026 08:00:00",12.7816279,77.6299145,NO2,22,27,26
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","26-03-2026 08:00:00",28.3153,76.9143,NO2,9,32,17
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","26-03-2026 08:00:00",28.3153,76.9143,OZONE,4,92,9
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","26-03-2026 08:00:00",30.7057778,76.8531805555555,CO,8,22,19
